epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,4530.87,0.7609,0.53293,1.02331,0.56586,0.49941,0.49585,0.22623,1.98255,1.62018,2.03538,0.00021471,0.00021471,0.00021471
134,4565.88,0.75322,0.53421,1.02898,0.60223,0.46716,0.48382,0.22872,1.97781,1.64818,2.03857,0.000203707,0.000203707,0.000203707
135,4598.49,0.74566,0.53731,1.02516,0.51816,0.53418,0.48594,0.22182,2.00355,1.58627,2.07411,0.000192705,0.000192705,0.000192705
136,4629.38,0.7452,0.52454,1.02033,0.52197,0.54173,0.49364,0.22748,1.97035,1.57377,2.03844,0.000181703,0.000181703,0.000181703
137,4661.25,0.74286,0.52932,1.01929,0.64571,0.46211,0.49213,0.22531,1.98922,1.58178,2.04933,0.000170701,0.000170701,0.000170701
138,4695.66,0.74435,0.50917,1.02225,0.5767,0.50367,0.50861,0.24091,1.9246,1.57467,2.00638,0.000159699,0.000159699,0.000159699
139,4729.28,0.73617,0.51563,1.02034,0.6006,0.47897,0.49851,0.23098,1.93063,1.57736,2.00287,0.000148696,0.000148696,0.000148696
140,4762.98,0.73989,0.51082,1.01826,0.57651,0.51553,0.49536,0.2338,1.93667,1.59773,2.03396,0.000137694,0.000137694,0.000137694
141,4802.81,0.71949,0.48658,0.99861,0.619,0.47972,0.4872,0.21964,1.98848,1.58487,2.06705,0.000126692,0.000126692,0.000126692
142,4837.42,0.63687,0.41873,0.95062,0.60221,0.46895,0.48865,0.22603,1.97513,1.61713,2.04031,0.00011569,0.00011569,0.00011569
143,4870.44,0.63734,0.40617,0.95277,0.6086,0.48328,0.49829,0.22473,1.98865,1.58711,2.06664,0.000104688,0.000104688,0.000104688
144,4900.8,0.63398,0.3912,0.94324,0.54648,0.52809,0.48688,0.22594,1.98382,1.59581,2.06763,9.36854e-05,9.36854e-05,9.36854e-05
145,4933.84,0.61331,0.38955,0.94281,0.55738,0.50193,0.48937,0.23028,1.96979,1.62543,2.0653,8.26832e-05,8.26832e-05,8.26832e-05
